Trained Records Size,O,LOCATION,DATE,PERSON,ID,macro avg,weighted avg
272,0.9982937596945471,0.8738292011019284,0.9856492824641232,0.9782258064516128,0.7925531914893618,0.9257102482403148,0.9959752428974324
284,0.998866070303641,0.9086268504338948,0.9887640449438204,0.9797012638835696,0.8655913978494624,0.9483099254828776,0.997161091926716
296,0.99830157866086,0.9010204081632652,0.9856824689786828,0.9721317408613824,0.8264840182648402,0.9367240429858062,0.9963277371424804
308,0.9984677745835064,0.9261036468330134,0.982381530984204,0.9781382228490832,0.7740667976424361,0.9318315945784488,0.9966689385883448
320,0.9986802055178124,0.9139134481154024,0.9877527769866136,0.9807627404657442,0.8538812785388127,0.9469980899248772,0.9970602466872234
332,0.9986608590236956,0.9140767824497256,0.9876407580335071,0.9826700898587932,0.9566929133858268,0.96794828055031,0.9972893788110396
344,0.998924326115274,0.9413808076422056,0.979678015307469,0.9841075794621028,0.9366602687140114,0.9681501994482126,0.9976682655554292
356,0.998440557597854,0.8949843260188088,0.9857288481141692,0.9774826789838338,0.9411764705882352,0.9595625762605804,0.9967564829963582
368,0.9987629204940098,0.931548757170172,0.9836302359171882,0.9818790075271814,0.9211908931698772,0.9634023628556856,0.9974103209418888
380,0.9986732440168028,0.9325925925925926,0.9839449541284404,0.979591836734694,0.8945686900958466,0.9578742635136754,0.9972483384916032
392,0.9986866278689092,0.9322935129386742,0.982163016482276,0.9770630108093856,0.9026845637583892,0.9585781463715268,0.997212994942903
404,0.9988381890596756,0.9400953029271611,0.984831831171686,0.9807026224641266,0.9065420560747662,0.962202000339483,0.9975279950331748
416,0.9988312278600648,0.950462351387054,0.9861554845580404,0.974757281553398,0.9129852744310576,0.9646383239579228,0.9975729651166548
428,0.9982771420167242,0.9254013220018884,0.9629629629629628,0.9819193324061196,0.9390070921985816,0.9615135703172554,0.9965726072191944
440,0.9987970721960568,0.94909793814433,0.977751291219706,0.9856393891041716,0.9362279511533242,0.9695027283635176,0.9976086292638446
452,0.9987940541915704,0.9450270098506514,0.98063001369595,0.9848010728654448,0.9220607661822986,0.9662625833571832,0.9975761507166224
464,0.9987154743797848,0.940251572327044,0.9822485207100592,0.9826868288406748,0.878186968838527,0.956417873019218,0.9973547808511848
476,0.9988057743594184,0.928416485900217,0.9866121234659724,0.9796181077022098,0.9353233830845772,0.9657551749024792,0.9974932946126408
488,0.9987648742280464,0.9383362420011634,0.982392448720276,0.9795751633986928,0.898483080513419,0.9595103617723196,0.9973941270078652
