Trained Records Size,O,PHYS,PHEN,DISO,PROC,OBJC,GEOG,CHEM,LIVB,ANAT,micro avg,macro avg,weighted avg,confidence,eval_size
360,0.8874402433724468,0.0,0.0,0.588496981251986,0.4978317432784042,0.0,0.0,0.6100000000000001,0.3659574468085106,0.559679037111334,0.7502887502887503,0.3509405451822681,0.757541447094088,0.7518916753407405,0
380,0.9022155361050328,0.0,0.0,0.5933977455716587,0.5263963274674828,0.0,0.0,0.6611570247933884,0.5508317929759703,0.5646123260437376,0.7884499884499886,0.3798610752957271,0.7779375853466997,0.75875384015797,0
400,0.8880289285034574,0.0,0.0,0.6245928338762216,0.4825046040515653,0.0,0.0,0.6454545454545454,0.4754098360655737,0.25,0.7861399861399861,0.3365990747951363,0.750216751186155,0.7644527665342025,0
420,0.8796471329552614,0.0,0.0,0.6128890837352039,0.5546995377503852,0.0,0.0,0.466973886328725,0.5444839857651245,0.2703533026113671,0.7791175791175792,0.3329046929146068,0.7446175446126294,0.7614092892765371,0
440,0.8816074188562597,0.0,0.0,0.6068965517241379,0.4310880829015544,0.0,0.0,0.5873493975903613,0.5465116279069767,0.5856697819314642,0.7920535920535922,0.3639122860910754,0.7574487045540237,0.7654522721874811,0
460,0.8658616904500549,0.0,0.0,0.6335144170497284,0.4520661157024793,0.0,0.0,0.6070991432068544,0.5575539568345323,0.5841313269493844,0.7439131439131439,0.3700226650193034,0.7522474014765548,0.7702554910273318,0
480,0.9005257049225097,0.0,0.0,0.6451872734595249,0.5596919127086007,0.0,0.0,0.5308056872037915,0.5541284403669725,0.5933609958506224,0.7927927927927928,0.3783700014512022,0.7814853331359276,0.7696458801396456,0
500,0.8950962983199016,0.0,0.0,0.6601446193109315,0.5063769485120454,0.0,0.0,0.5815384615384616,0.6409861325115563,0.5553097345132744,0.7866019866019867,0.3839452194706171,0.7787177624041676,0.7741057646113811,0
520,0.9004642271982523,0.0,0.0,0.6581132075471697,0.5527577937649879,0.0,0.0,0.6317365269461077,0.6263910969793323,0.6152380952380953,0.8000924000924001,0.3984700947673945,0.789588486813505,0.7736948454591687,0
540,0.8977008524928959,0.0,0.0,0.6091530773277223,0.496,0.0,0.0,0.6483909415971396,0.6372980910425845,0.5923295454545455,0.8023100023100025,0.3880872507914887,0.7783117685659153,0.7761591276580525,0
560,0.8978567290982815,0.0,0.0,0.6489013557737261,0.5239923224568138,0.0,0.0,0.6456241032998564,0.6182432432432433,0.6294027565084226,0.8095172095172096,0.3964020510380344,0.7858696290908073,0.7715134093325354,0
580,0.8966549524925159,0.0,0.0,0.4209860935524652,0.5738993710691824,0.0,0.0,0.5791433891992551,0.63,0.569415081042988,0.7845691845691846,0.3670098887356406,0.7577627905478844,0.7788964425924721,0
600,0.9045042607872312,0.0,0.0,0.6375870069605568,0.6042983565107458,0.0,0.0,0.6626506024096386,0.6233766233766234,0.6009852216748769,0.8059136059136061,0.4033402071719673,0.7937663654235748,0.7797575612514921,0
620,0.8993464052287581,0.0,0.0,0.555615843733044,0.5374771480804387,0.0,0.0,0.5355004277159965,0.657439446366782,0.5703536493604214,0.7916839916839917,0.375573292048544,0.7715039830040654,0.7856405449899809,0
640,0.8803970223325062,0.0,0.0,0.6002143622722401,0.5603944124897289,0.0,0.0,0.6603518267929634,0.6710743801652892,0.4516971279373368,0.7962115962115962,0.3824129131990065,0.7644165060615501,0.7881935676081065,0
660,0.8974957830543662,0.0,0.0,0.5886792452830188,0.6300617707618393,0.0,0.0,0.6766712141882674,0.6765578635014837,0.6072943172179813,0.8090552090552092,0.4076760194006956,0.7878239996503957,0.7808305579005635,0
680,0.8863892013498312,0.0,0.0,0.5911749069643807,0.2718676122931442,0.0,0.0,0.6822660098522167,0.647787610619469,0.6429163214581607,0.7956571956571957,0.3722401662537202,0.7579786992735703,0.7860515773177362,0
700,0.9050998076795544,0.0,0.0,0.6592592592592592,0.5857418111753372,0.0,0.0,0.6619883040935672,0.6889952153110048,0.6479690522243714,0.8155232155232155,0.4149053449743095,0.7997770112049111,0.7933355723141048,0
720,0.9047205715430328,0.0,0.0,0.5970898143502258,0.5497808390732624,0.0,0.0317460317460317,0.5810684161199626,0.656023222060958,0.60262891809909,0.7987063987063987,0.3923057812992563,0.7840259632108629,0.7922692528736818,0
740,0.8939414384023748,0.0,0.0,0.6576182136602451,0.5704960835509137,0.0,0.0625,0.5193798449612402,0.6293706293706293,0.4784217016029592,0.7876183876183875,0.3811727911548362,0.7757221351793698,0.7891411869858377,0
760,0.8973343890208498,0.0,0.0,0.6445066480055983,0.5130183220829315,0.0,0.0317460317460317,0.4785714285714285,0.6253041362530413,0.5483503981797497,0.7964887964887966,0.3738831353859631,0.7744059424828448,0.7918895288425218,0
780,0.8956096321240232,0.0117647058823529,0.0,0.6220391349124614,0.3865363735070576,0.0,0.0317460317460317,0.6666666666666667,0.6433378196500673,0.6499189627228525,0.8053592053592054,0.3907619327211513,0.77522141696085,0.7898802225805023,0
800,0.9056428618791856,0.0,0.0,0.6371511068334937,0.6091445427728613,0.0,0.0923076923076923,0.6173361522198731,0.5530145530145529,0.5434047350620068,0.8044352044352044,0.3958001644089666,0.7885191355145603,0.7856312737257299,0
820,0.90985858856645,0.0,0.0,0.6452223273415326,0.5998433829287392,0.0,0.3013698630136986,0.6153846153846154,0.6535947712418301,0.5855999999999999,0.8112728112728114,0.4310873548476865,0.7980764141167553,0.7911351580547986,0
840,0.9022842639593908,0.0,0.0,0.6456444619629483,0.5821276595744681,0.0,0.0,0.4143835616438356,0.661698956780924,0.5191146881287726,0.7764379764379765,0.372525359205034,0.7795517356118858,0.795424693303584,0
