Trained Records Size,O,PERSON,LOCATION,DATE,ID,macro avg,weighted avg
620,0.9985619104162544,0.9795358408597236,0.9165790396074308,0.9817895462151788,0.8994490358126722,0.955183074582252,0.9970317926853376
630,0.998941118258288,0.980828133862734,0.946070878274268,0.9830917874396136,0.9308093994778068,0.9679482634625424,0.9977821935330244
640,0.9986916156154768,0.9806774266878836,0.9174829819027064,0.9902990299029902,0.897554527428949,0.9569411163076011,0.9973112559632132
650,0.9988634095404312,0.9836808703535812,0.9284150244231092,0.9908330011956956,0.8879551820728292,0.9579494975171292,0.9976038886629224
660,0.998924227324626,0.9820521503555704,0.930256586877906,0.9918342959569808,0.9085365853658536,0.9623207691761874,0.997722341950624
670,0.998863116973548,0.9778581111613196,0.9251264755480608,0.9897847862739264,0.9195250659630608,0.962231511183983,0.9975518648068866
680,0.9984216139822546,0.9415775243916774,0.8462377317339148,0.9912507456750844,0.8532423208191127,0.9261459873204088,0.9957556852445602
690,0.9981090289326832,0.9635841977488412,0.8965746591286997,0.981139489194499,0.9017480409885472,0.9482310831986542,0.9961852454935324
700,0.998797289694802,0.9779845665002268,0.9210796036897848,0.9898608349900596,0.935545628589662,0.964653584692907,0.9974934091203586
710,0.9987705641707744,0.9780416760026888,0.9266369557764828,0.9855731225296444,0.9282539682539682,0.9634552573467116,0.997433846264973
720,0.9989033767750042,0.9766541396196332,0.9356890459363958,0.9891553079295592,0.9285245901639344,0.9657852920849054,0.997682833390552
730,0.9987555537950658,0.9760808534531162,0.917340372875763,0.989806116330202,0.9384615384615383,0.9640888869831372,0.9973985060949604
740,0.9988408884433444,0.975665748393021,0.9329842931937172,0.9893074847606677,0.9051490514905148,0.9603894932562532,0.9975297460341156
750,0.9986547181428176,0.9812717281596948,0.9401768683891104,0.9932297889287136,0.8064,0.9439466207240674,0.9973183837352882
760,0.998524119259088,0.9824920418371988,0.9066927210552028,0.9789783889980356,0.916400765794512,0.9566176073888072,0.996942303731122
770,0.9988589030298431,0.9804323094425484,0.9273682303930446,0.9869565217391304,0.9121231558691468,0.9611478240947428,0.9975415136987932
780,0.9987769633369592,0.9798185941043084,0.9186602870813396,0.9816288436978092,0.9364548494983278,0.9630679075437488,0.9973484881255066
